date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:18	12057/12057	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2018:29:46%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/suporte.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/suporte.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:19	12898/12898	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2018:29:45%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/vitalicio-acesso.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/vitalicio-acesso.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:19	2264/2264	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2018:26:32%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/certificado.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/certificado.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:19	10637/10637	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:04%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/luciana-domingos-1-1.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/luciana-domingos-1-1.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:19	6975/6975	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:04%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/ana-1.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/ana-1.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:19	10357/10357	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/alessandra.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/alessandra.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:20	6787/6787	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/francisco.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/francisco.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:20	34476/34476	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/monica-almeida-1.jpeg	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/monica-almeida-1.jpg	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:20	16609/16609	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:04%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/aline-conste-1.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/aline-conste-1.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:20	50437/50437	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/leidiane-canhestro-1.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/leidiane-canhestro-1.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
